file	time(s)	force(N)
Cam_00001.png	-0.09886074	-0.0
Cam_00002.png	-0.001017094	-0.0
Cam_00003.png	2.257723	2.0
Cam_00004.png	2.312693	2.0
Cam_00005.png	2.412637	2.0
Cam_00006.png	2.504692	3.0
Cam_00007.png	2.601636	3.0
Cam_00008.png	2.71419	3.0
Cam_00009.png	2.830127	3.0
Cam_00010.png	2.938067	3.0
Cam_00011.png	3.037013	3.0
Cam_00012.png	3.143953	3.0
Cam_00013.png	3.19893	3.0
Cam_00014.png	3.306861	3.0
Cam_00015.png	3.402809	3.0
Cam_00016.png	3.501324	4.0
Cam_00017.png	3.615273	4.0
Cam_00018.png	3.707206	4.0
Cam_00019.png	3.834137	4.0
Cam_00020.png	3.928084	4.0
Cam_00021.png	4.016035	4.0
Cam_00022.png	4.110986	4.0
Cam_00023.png	4.209928	4.0
Cam_00024.png	4.31387	4.0
Cam_00025.png	4.413815	4.0
Cam_00026.png	4.503345	5.0
Cam_00027.png	4.629419	5.0
Cam_00028.png	4.723876	5.0
Cam_00029.png	4.805836	5.0
Cam_00030.png	4.899779	5.0
Cam_00031.png	4.999727	5.0
Cam_00032.png	5.100669	5.0
Cam_00033.png	5.200615	5.0
Cam_00034.png	5.303558	5.0
Cam_00035.png	5.403502	5.0
Cam_00036.png	5.501011	6.0
Cam_00037.png	5.600552	6.0
Cam_00038.png	5.700505	6.0
Cam_00039.png	5.800449	6.0
Cam_00040.png	5.901009	6.0
Cam_00041.png	6.001956	6.0
Cam_00042.png	6.100902	6.0
Cam_00043.png	6.201844	6.0
Cam_00044.png	6.301786	6.0
Cam_00045.png	6.399732	6.0
Cam_00046.png	6.50127	7.0
Cam_00047.png	6.601217	7.0
Cam_00048.png	6.701373	7.0
Cam_00049.png	6.802316	7.0
Cam_00050.png	6.901824	7.0
Cam_00051.png	7.001773	7.0
Cam_00052.png	7.102712	7.0
Cam_00053.png	7.201662	7.0
Cam_00054.png	7.32059	7.0
Cam_00055.png	7.405547	7.0
Cam_00056.png	7.502091	8.0
Cam_00057.png	7.601036	8.0
Cam_00058.png	7.70198	8.0
Cam_00059.png	7.800922	8.0
Cam_00060.png	7.900867	8.0
Cam_00061.png	8.001812	8.0
Cam_00062.png	8.102756	8.0
Cam_00063.png	8.202702	8.0
Cam_00064.png	8.310644	8.0
Cam_00065.png	8.403588	8.0
Cam_00066.png	8.50212	9.0
Cam_00067.png	8.604061	9.0
Cam_00068.png	8.700546	9.0
Cam_00069.png	8.802486	9.0
Cam_00070.png	8.902435	9.0
Cam_00071.png	9.003377	9.0
Cam_00072.png	9.103323	9.0
Cam_00073.png	9.203263	9.0
Cam_00074.png	9.306206	9.0
Cam_00075.png	9.401155	9.0
Cam_00076.png	9.503265	10.0
Cam_00077.png	9.60321	10.0
Cam_00078.png	9.703154	10.0
Cam_00079.png	9.803097	10.0
Cam_00080.png	9.903043	10.0
Cam_00081.png	10.00299	10.0
Cam_00082.png	10.10393	10.0
Cam_00083.png	10.20388	10.0
Cam_00084.png	10.32381	10.0
Cam_00085.png	10.41076	10.0
Cam_00086.png	10.50371	11.0
Cam_00087.png	10.6042	11.0
Cam_00088.png	10.70323	11.0
Cam_00089.png	10.80217	11.0
Cam_00090.png	10.90268	11.0
Cam_00091.png	11.00261	11.0
Cam_00092.png	11.10456	11.0
Cam_00093.png	11.2025	11.0
Cam_00094.png	11.32044	11.0
Cam_00095.png	11.40539	11.0
Cam_00096.png	11.50534	12.0
Cam_00097.png	11.60441	12.0
Cam_00098.png	11.70435	12.0
Cam_00099.png	11.8053	12.0
Cam_00100.png	11.90524	12.0
Cam_00101.png	12.00319	12.0
Cam_00102.png	12.10413	12.0
Cam_00103.png	12.20551	12.0
Cam_00104.png	12.32144	12.0
Cam_00105.png	12.40739	12.0
Cam_00106.png	12.50535	13.0
Cam_00107.png	12.60289	13.0
Cam_00108.png	12.70493	13.0
Cam_00109.png	12.80488	13.0
Cam_00110.png	12.90483	13.0
Cam_00111.png	13.00377	13.0
Cam_00112.png	13.10371	13.0
Cam_00113.png	13.20366	13.0
Cam_00114.png	13.31461	13.0
Cam_00115.png	13.40355	13.0
Cam_00116.png	13.50449	14.0
Cam_00117.png	13.61199	14.0
Cam_00118.png	13.70594	14.0
Cam_00119.png	13.80589	14.0
Cam_00120.png	13.91082	14.0
Cam_00121.png	14.00977	14.0
Cam_00122.png	14.10572	14.0
Cam_00123.png	14.20567	14.0
Cam_00124.png	14.30761	14.0
Cam_00125.png	14.40455	14.0
Cam_00126.png	14.5055	15.0
Cam_00127.png	14.60404	15.0
Cam_00128.png	14.70599	15.0
Cam_00129.png	14.80593	15.0
Cam_00130.png	14.90689	15.0
Cam_00131.png	15.00682	15.0
Cam_00132.png	15.10677	15.0
Cam_00133.png	15.20673	15.0
Cam_00134.png	15.30965	15.0
Cam_00135.png	15.4066	15.0
Cam_00136.png	15.50654	16.0
Cam_00137.png	15.60426	16.0
Cam_00138.png	15.70887	16.0
Cam_00139.png	15.8053	16.0
Cam_00140.png	15.90673	16.0
Cam_00141.png	16.00672	16.0
Cam_00142.png	16.1097	16.0
Cam_00143.png	16.20523	16.0
Cam_00144.png	16.3222	16.0
